iter	Passed	Remaining
0	1	129
1	2	114
2	3	105
3	4	96
4	4	92
5	5	88
6	6	86
7	7	84
8	8	82
9	9	81
10	9	79
11	10	79
12	11	78
13	12	78
14	13	76
15	14	75
16	15	74
17	16	73
18	16	72
19	17	71
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	23	65
26	23	64
27	24	63
28	25	63
29	26	62
30	27	61
31	28	60
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	34	54
39	35	53
40	36	53
41	37	51
42	38	50
43	39	49
44	39	48
45	40	48
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	42
53	48	41
54	48	40
55	49	39
56	50	38
57	51	37
58	52	36
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	89	2
97	90	1
98	91	0
99	92	0
